Airports with ACARS Soundings. Downloaded from: https://rucsoundings.noaa.gov/airports.html

GSD_ID name wmoid  lat     lon   elev(m) Description
2413 CYPA  71869   53.22 -105.68  428 Prince Albert, SA/CN
2417 CYPR  71898   54.30 -130.43   34 Prince Rupert, BC/CN
2395 CYQB  71714   46.80  -71.38   73 Quebec, QB/CN
2383 CYQG  71538   42.27  -82.97  190 Windsor, ON/CN
2385 CYQI  71603   43.83  -66.08   43 Yarmouth, NS/CN
2406 CYQL  71874   49.63 -112.80  929 Lethbridge, AB/CN
2391 CYQM  71705   46.12  -64.68   71 Moncton, NB/CN
2408 CYQR  71863   50.43 -104.67  577 Regina, SA/CN
2400 CYQT  71749   48.37  -89.32  199 Thunder Bay, ON/CN
2419 CYQU  71940   55.18 -118.88  669 Grand Prairie, AB/CN
0608 CYQX  71803   48.96  -54.57  151 Gander Intl, NF
2392 CYQY  71707   46.17  -60.05   62 Sydney, NS/CN
2412 CYRL  71854   51.07  -93.80  383 Red Lake, ON/CN
2411 CYRV  71882   50.97 -118.18  443 Revelstoke, BC/CN
0037  CYS  72564   41.15 -104.82 1872 Cheyenne, WY
2394 CYSB  71730   46.62  -80.80  348 Sudbury, ON/CN
2387 CYSJ  71609   45.32  -65.88  109 Saint John, NB/CN
2376 CYTS  71739   48.57  -81.37  295 Timmins, ON/CN
2389 CYUL  71627   45.47  -73.75   36 Montreal/Dorval, QB/CN
2377 CYUY      0   48.20  -78.83  301 Rouyn Airport, QB/CN
2398 CYVO  71725   48.07  -77.78  337 Val D'or, QB/CN
0785 CYVR  71892   49.18 -123.18    2 Vancouver Intl, BC
1230 CYWG  71852   49.91  -97.23  239 Winnipeg, MB/CN
2382 CYWK  71825   52.93  -66.87  551 Wabush/Lbrdr Cty, NF/CN
2405 CYXC  71880   49.60 -115.78  939 Cranbrook, BC/CN
2381 CYXE  71866   52.17 -106.68  504 Saskatoon, SA/CN
2407 CYXH  71872   50.02 -110.72  716 Medicine Hat, AB/CN
2374 CYXJ  71943   56.23 -120.73  695 Fort Saint John, BC/CN
2416 CYXS  71896   53.88 -122.68  691 Prince George, BC/CN
2418 CYXT  71951   54.47 -128.58  217 Terrace, BC/CN
2384 CYXU  71623   43.03  -81.15  278 London, ON/CN
2404 CYXX  71108   49.03 -122.37   58 Abbotsford, BC/CN
1295 CYXY      0   60.71 -135.07  706 Whitehorse Intl
2393 CYYB  71731   46.35  -79.43  371 North Bay, ON/CN
0805 CYYC  71877   51.12 -114.02 1084 Calgary Intl, AB/CN
2437 CYYD  71950   54.82 -127.18  523 Smithers, BC/CN
2370 CYYF  71889   49.46 -119.60  344 Penticton, BC/CN
2380 CYYG  71706   46.28  -63.13   54 Charlottetown, PE/CN
2402 CYYJ  71799   48.65 -123.43   19 Victoria Intl, BC/CN
2421 CYYQ  71913   58.75  -94.07   29 Churchill, MN/CN
2415 CYYR  71816   53.32  -60.42   49 Goose Bay, NF/CN
2401 CYYY  71718   48.60  -68.22   52 Mont Joli, QB/CN
0783 CYYZ  71624   43.68  -79.63  176 Toronto Intl, ON
2414 CYZP  71101   53.25 -131.82    6 Sandspit, BC/CN
2409 CYZT  71109   50.68 -127.37   22 Port Hardy, BC/CN
2378 CYZV  71811   50.22  -66.27   55 Sept Iles, QB/CN
2372 CZBF      0   47.63  -65.74   59 Bathurst, NB/CN
2584 DAAG  60390   36.71    3.25   25 Algiers, Algeria
0350  DAL  72259   32.90  -97.03  182 Dallas/Fort Worth, TX
2611 DAUH  60581   31.67    6.14  141 Hassi Messaoud, Algeria
0038  DAY  72429   39.90  -84.20  298 Dayton/James Cox, OH
1232 DBBS  65335    8.03    2.47  200 Save, Benin
2963  DBQ  72547   42.40  -90.70  329 Dubuque Municipal, IA/US
0039  DCA  72405   38.85  -77.03    5 Washington National, VA
0293  DDK  10513   50.87    7.17   99 Koln/Bonn, DL
0741  DEC      0   39.83  -88.87  208 Decatur, IL
0266  DEL  42182   28.58   77.20  216 Delhi/Safdarjun, IN
0040  DEN  72469   39.87 -104.67 1611 Denver (DIA), CO
2574 DFFD  65503   12.35   -1.52  306 Ouagadougou, Burkino Faso
0041  DFW  72259   32.90  -97.03  182 Dallas/Fort Worth, TX
0931 DGAA      0    5.60   -0.20   68 Accra
0932 DIAP      0    5.20   -3.90    7 Abidjan
0641  DKC  48995   10.60  103.68   12 Kompong, COMBODIA
2832  DLG  70321   59.05 -158.52   29 DILLINGHAM, AK
2221  DLH      0   46.84  -92.19  435 Duluth Intl, MN
1373 DNAA  65125    9.01    7.26  342 Abuja, Nigeria
0933 DNMM      0    6.50    3.30   38 Lagos
2576 DNPO  65250    4.85    7.02   18 Port Harcourt, Nigeria
2575 DRRN  61052   13.50    2.18  223 Naimey, Niger
0042  DRT  72261   29.37 -100.92  313 Del Rio, TX
0043  DSM  72546   41.53  -93.65  294 Des Moines, IA
0934 DTMB      0   35.60   10.70    2 Monastir
3373  DTS      0   30.40  -86.47    7 Destin, FL/US
0935 DTTA      0   36.80   10.20    6 Tunis
0044  DTW  72537   42.23  -83.33  191 Detroit Metro, MI
0311  DUS  10400   51.28    6.78   44 Duesseldorf, DL
2830  DUT  70489   53.89 -166.53    4 DUTCH HARBOR/Unalaska, AK
2218  DVL      0   48.11  -98.91  443 Devils Lake Muni
0045  DXR  90037   41.37  -73.48  139 Danbury, CT
2630  EAB  41112   18.23   42.65 2090 Abha, SD
2217  EAU      0   44.87  -91.49  276 Chippewa Valley Regional
