height,temperature,pressure
528.75,293.3046083975045,86556.52201940631
532.5,293.2766263829239,86518.88806631183
536.25,293.24864436834326,86481.25411321735
540.0,293.22066235376263,86443.62016012287
543.75,293.192680339182,86405.98620702839
547.5,293.1646983246014,86368.3522539339
551.25,293.13671631002074,86330.71830083942
555.0,293.1087342954401,86293.08434774494
558.75,293.0807522808595,86255.45039465046
562.5,293.05277026627886,86217.81644155597
566.25,293.0247882516982,86180.18248846149
570.0,292.9968062371176,86142.54853536701
573.75,292.973361404196,86105.12117272452
577.5,292.95052455801294,86067.7214837654
581.25,292.9276877118299,86030.32179480628
585.0,292.90485086564684,85992.92210584716
588.75,292.8820140194638,85955.52241688804
592.5,292.8591771732807,85918.12272792892
596.25,292.8363403270977,85880.7230389698
600.0,292.8135034809146,85843.32335001067
